plu_kod,tw_nazwa,tw_cena_sprz,tw_idabaco
5900956105376,HERBAPOL NAP 1L HERB CZARN CYTR,"5,99",5232996
5900956105369,HERBAPOL NAP 1L HERB BIA£ MALIN,"5,99",5232988
5449000031136,KINLEY NAP 1L GAZ TONIC WATER,"6,79",3661709
5900334003423,NESTEA NAP”J 1.5L TEA BRZO,"4,29",3965464
5909000601543,KOMODO NAP”J VITAMIN CYTR 250ML,"2,99",3742442
5449000235947,FUZE NAP”J HERB 500ML TRAWA CYT,"3,99",4777306
9002490237615,Red Bull Kokos-Acai 250ml,"4,49",4772406
5900334015990,Tiger napoj gaz energetyczny fu,"3,99",4409280
5449000011312,FANTA NAP”J GAZ 2L ORANGE,"9,59",4429304
5449000297983,AHA WODA 330ML GAZ BLUEB POMERG,"2,79",4017638
5902854103218,KOMODO NAP ENERG 250ML B/CUKRU,"2,29",4168423
5903242582318,BEORG IZOTONIK 100G SI£A BIO,"19,99",3636719
5449000052728,KINLEY NAP 250ML GAZ AROM BERRY,"3,49",4232161
5740700995774,COCA COLA NAP”J 330ML CHERRY,"3,99",5038898
5741000224786,PEPSI MAX NAP”J 330ML LEMON,"3,19",5038831
5901067410496,DR WITT NAP”J 550ML WIT E JAB£,"3,49",5135090
5905133528139,JUNGLE NAP 450ML NATA LICZ,"3,49",5137773
8801056237974,MILKIS NAP”J 250ML CYTR-LIMO,"2,99",5233960
8801056791018,MILKIS NAP”J 250ML TRUSKAWKA,"2,99",5233952
5908260257361,OSHEE VIT NAP ØE—-SZE— 500ML,"3,49",4055547
4260770980247,BIO NapÛj Ice Tea OPR Uta 12szt,"13,49",3829942
4260770980308,BIO NapÛj Ice Tea DBZ Goku 12sz,"13,49",3829744
8594003849602,KOFOLA NAP”J 2L GAZOWANY,"8,29",3831112
8720289072063,NAP”J ISOTONIC ORANGE 0.55l,"1,99",4967469
5900956105222,HERBAPOL NAP HERB 1L MANG-POKRZ,"5,39",5065602
5905741541025,OSHEE EATY POSI£ 500ML P£YN JAG,"19,99",5067756
5905741540288,OSHEE EATY POSI£ 500ML P£YN TRU,"19,99",5067731
5902854108725,NAP”J 330ML CHAI MATE BERRY PU,"3,49",5163233
8595231216464,PRAGER KOMBUCHA 330ML YERBA BIO,"7,69",5167945
4015533028724,VOEL KOMBUCHA 750,19,5265079
5900334024114,NEST NAP CYTR 500,"3,89",5269683
5060895745955,BURN ARBUZ ZER 250,"3,29",5276605
4061445145004,TCHIB COFFIZZ NAP 500ML PASSION,"5,79",4059010
5449000040008,1.0 l PET KINLEY BITTER LEMON,"5,19",4777272
5449000217127,1.0 l PET KINLEY MOHITO,"5,29",4777280
5900352014005,NAPOJ HELLENA ORANZADA ZOLTA 27,"2,69",3744364
5900352013992,"COLIAN HELLENA 0,4L GAZ ORANZAD","2,59",3744372
5909000601567,KOMODO NAP”J ENER KAKTUS 250ML,"2,29",3742608
54490703,COCA COLA NAP”J GAZ 330ML SZK£O,"5,99",4782678
54490703,COCA COLA NAP”J GAZ 330ML SZK£O,"5,99",4782678
90375408,COCA COLA GAZ 330ML SZK£ ZERO,"5,99",4782686
90375408,COCA COLA GAZ 330ML SZK£ ZERO,"5,99",4782686
5449000275448,COCA COLA NAP”J GAZ 850ML ZERO,"6,99",4796181
5902176738907,DZIK NAP”J 250ML ENERG KLASYK,"3,49",5118823
5904988309825,DZIK  ZERO CAFFEINE ZERO KALORI,"5,49",5118955
5900497048484,PEPSI 500ML LEMON ZERO,"5,49",5216189
5900497019316,PEPSI 850ML COLA,"6,99",3967452
5906507002149,KOMODO NAP IZOTONIK 750ML W/OWO,"2,59",4748398
5908260255572,OSHEE NAP IZO CZ PORZECZK 750ML,"3,29",4760500
5449000235954,FUZE NAP”J HERB 1.5L TRAWA CYTR,"5,89",4765087
5900497033367,Mirinda apple-kiwi pet 1l,"3,69",4665873
5900552069454,FRUGO NAP”J CZARNA HERB 500ML,"2,39",3942349
5900497029629,"PEPSI LIMA 0,33L PUSZ.","3,69",3987229
5900552069447,FRUGO NAP”J ZIELONA HERB 500ML,"2,39",3942356
5907214106458,SKOROSZYT PP ZAWIESZ.ZIELONY,"0,69",4093399
5907214114392,SKOROSZYT PP ZAWIESZ.ZOLTY,"0,79",4093415
5907214114538,SKOROSZYT PP CZARNY,"0,79",4093464
5907214114569,SKOROSZYT PP POMARANCZOWY,"0,79",4093480
5900497037662,ROCKSTAR NAP”J ENERG 500ML MANG,"4,39",4131470
5900497043243,LIPTON NAP”J 500ML PEACH 20%SOK,"4,99",4220513
5900552078333,BLACK 150ML STRONG CLASSIC,"2,29",4337432
5900500042706,JURAJSKA NAP 12X500ML L/GAZ POM,"4,99",4349502
5905256760126,JURAJSKA NAP 12X500ML L/GAZ POM,"4,99",4349502
3601020032100,WM WK£ D/SEG 300K A4 KR,"15,99",5028477
3601010039522,ÄCO WK£ D/SEG A4 100K KR FR,"5,12",5029665
